Time/Days,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,
09:00 - 10:00,,,,Soft Computing Anubha Prajapati tb12A,,,
10:00 - 11:00,,,Soft Computing Anubha Prajapati tb11A,,,,
11:00 - 12:00,,,,,,,
13:00 - 14:00,,Soft Computing Anubha Prajapati tb12A,,,,,
14:00 - 15:00,,,Soft Computing Anubha Prajapati tb11A,,,,
15:00 - 16:00,Soft Computing Anubha Prajapati tb11A,,,,,,
